A32,2023-12-31,2023-12-31,-25.000,31.000,56.000,158.000,160.000,113.000,1.000,17.000,222.000,0.000,0.000,7.000,276.000,-25.000,0.000,2.000,2.000,720.000,8.000,-2.000,-2.000,40.000,12.000,6.000,7.800,18.000,NULL,NULL,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,4.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAA,2023-12-31,2023-12-31,-9.000,11.000,3515.000,1287.000,782.000,2013.000,297.000,3690.000,5964.000,2625.000,359.000,1734.000,902.000,-9.000,-17.000,26.000,26.000,12628.000,90.000,10.000,10.000,289.000,9.000,2.000,2.700,5.000,2024-03-31,11.200,0.981,0.063,0.032,11.000,11.300,0.700,0.700,0.400,0.300,382274496.000,0,0,21.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAH,2023-12-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,NULL,NULL,NULL,NULL,NULL,NULL,10.300,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAM,2023-12-31,2023-12-31,-14.000,7.000,28.000,14.000,127.000,24.000,0.000,20.000,203.000,0.000,0.000,0.000,10.000,-14.000,-35.000,-12.000,-12.000,139.000,-96.000,-41.000,-41.000,1.000,1.000,1.000,0.300,0.000,2024-03-31,9.300,-4.745,0.062,0.088,-44.100,14.500,0.600,0.700,0.800,0.800,12346411.000,0,0,3.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAS,2023-12-31,2023-12-31,-38.000,41.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-46.000,96.000,96.000,657.000,-73.000,35.000,35.000,87.000,28.000,13.000,2.400,4.000,2023-12-31,8.500,2.615,0.095,0.351,22.200,5.300,0.800,0.800,3.000,1.000,229999521.000,0,1,NULL,638.000,230.000,59.000,371.000,569.000,1700.000,2.000,2420.000,807.000,202.000,138.000,56.000,583.000,5.000,6.000,0.000,12.000,50.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAT,2023-12-31,2023-12-31,23.000,41.000,41.000,430.000,28.000,172.000,6.000,376.000,749.000,115.000,96.000,0.000,93.000,23.000,-38.000,31.000,31.000,600.000,-81.000,-7.000,-7.000,17.000,10.000,3.000,1.600,2.000,2024-03-31,5.250,4.612,0.094,0.104,24.200,11.900,0.500,0.500,0.500,0.800,70819103.000,0,0,12.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AAV,2023-12-31,2023-12-31,10.000,71.000,0.000,656.000,6.000,20.000,165.000,71.000,780.000,76.000,0.000,39.000,23.000,10.000,-85.000,20.000,20.000,73.000,-1223.000,NULL,NULL,-17.000,4.000,-24.000,-1.900,-2.000,2023-12-31,4.100,-4.046,0.088,0.944,-16.600,14.500,0.400,0.700,3.900,1.100,68987661.000,0,0,-3.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABB,2023-12-31,2023-12-31,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-67.000,-9.000,-9.000,454.000,NULL,NULL,0.300,3.000,2024-03-31,8.100,8.709,0.076,NULL,70.500,6.900,0.600,0.600,NULL,NULL,1035036800.000,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96782.000,36417.000,18405.000,872.000,3671.000,5953.000,0.900,15600.000,100034.000,29041.000,0.000,13479.000,3944.000,12.000,8.000,2758.000,749.000,828.000,-3.000,13.000,98107.000,20.000,2.000,7.600,6.000,01/03/2024,3.900,40.000,5.900,27.000
ABC,2023-12-31,2023-12-31,-18.000,63.000,100.000,405.000,1.000,7.000,2.000,126.000,498.000,11.000,0.000,3.000,129.000,-18.000,-22.000,-8.000,-8.000,1079.000,-97.000,2.000,2.000,26.000,0.000,2.000,4.100,5.000,NULL,13.000,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,-35.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABI,2023-12-31,2023-12-31,-204.000,6.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.000,7.000,7.000,246.000,NULL,NULL,6.200,16.000,2024-03-31,25.200,0.296,0.045,0.036,7.500,7.200,1.100,1.300,0.900,0.900,72391750.000,1,0,10.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000,0.000,0.000,0.000,3958.000,0.000,0.000,0.000,0.000,0.000,1532.000,2425.000,3.000,NULL,0.000,0.000,0.000,NULL,NULL,0.000,NULL,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL
ABR,2023-12-31,2023-12-31,-42.000,11.000,133.000,42.000,0.000,0.000,0.000,210.000,315.000,0.000,0.000,21.000,49.000,-42.000,-32.000,14.000,14.000,71.000,3.000,77.000,77.000,30.000,47.000,43.000,7.800,10.000,2024-03-31,12.900,0.773,0.062,0.382,10.000,11.100,0.800,1.000,4.900,4.400,20000000.000,0,0,-100.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABS,2023-12-31,2023-12-31,65.000,93.000,2.000,1473.000,4.000,14.000,0.000,87.000,914.000,592.000,1.000,0.000,72.000,65.000,-36.000,10.000,10.000,1025.000,-63.000,-22.000,-22.000,8.000,4.000,1.000,0.500,1.000,2023-12-31,5.790,3.875,0.086,0.078,22.400,15.600,0.500,1.000,0.500,0.600,80000000.000,0,0,-34.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABT,2023-12-31,2023-12-31,-12.000,14.000,156.000,88.000,92.000,90.000,8.000,217.000,491.000,100.000,0.000,2.000,59.000,-12.000,-14.000,2.000,2.000,533.000,-1.000,-1.000,-1.000,64.000,16.000,12.000,9.800,13.000,2024-03-31,34.100,0.218,0.030,0.027,7.500,10.300,1.000,1.100,0.900,1.400,14387207.000,0,0,-1.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABW,2023-12-31,2023-12-31,-69.000,12.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-19.000,23.000,23.000,293.000,-16.000,NULL,0.000,74.000,73.000,25.000,3.200,6.000,2024-03-31,10.900,1.346,0.075,0.330,14.700,10.100,0.800,0.900,3.600,3.000,101150000.000,0,1,NULL,340.000,521.000,727.000,0.000,288.000,422.000,54.000,1337.000,921.000,13.000,27.000,52.000,107.000,38.000,74.000,0.000,63.000,10.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
