'Date', 'Value'
13/05/2025,1293.43
12/5/2025,1283.26
9/5/2025,1267.30
8/5/2025,1269.80
7/5/2025,1250.37
6/5/2025,1241.95
5/5/2025,1240.05
29/04/2025,1226.30
28/04/2025,1226.80
25/04/2025,1229.23
24/04/2025,1223.35
23/04/2025,1211.00
22/04/2025,1197.13
21/04/2025,1207.07
18/04/2025,1219.12
17/04/2025,1217.25
16/04/2025,1210.30
15/04/2025,1227.79
14/04/2025,1241.44
11/4/2025,1222.46
10/4/2025,1168.34
9/4/2025,1094.30
8/4/2025,1132.79
4/4/2025,1210.67
3/4/2025,1229.84
2/4/2025,1317.83
1/4/2025,1317.33
31/03/2025,1306.86
28/03/2025,1317.46
27/03/2025,1323.81
26/03/2025,1326.09
25/03/2025,1331.92
24/03/2025,1330.32
21/03/2025,1321.88
20/03/2025,1323.93
19/03/2025,1324.63
18/03/2025,1330.97
17/03/2025,1336.26
14/03/2025,1326.15
13/03/2025,1326.27
12/3/2025,1334.41
11/3/2025,1332.54
10/3/2025,1330.28
7/3/2025,1326.05
6/3/2025,1318.22
5/3/2025,1304.71
4/3/2025,1311.91
3/3/2025,1309.37
28/02/2025,1305.36
27/02/2025,1307.80
26/02/2025,1302.96
25/02/2025,1303.16
24/02/2025,1304.56
21/02/2025,1296.75
20/02/2025,1292.98
19/02/2025,1288.56
18/02/2025,1278.14
17/02/2025,1272.72
14/02/2025,1276.08
13/02/2025,1270.35
12/2/2025,1266.91
11/2/2025,1268.45
10/2/2025,1263.26
7/2/2025,1275.20
6/2/2025,1271.48
5/2/2025,1269.61
4/2/2025,1264.68
3/2/2025,1253.03
24/01/2025,1265.05
23/01/2025,1259.63
22/01/2025,1242.53
21/01/2025,1246.09
20/01/2025,1249.55
17/01/2025,1249.11
16/01/2025,1242.36
15/01/2025,1236.18
14/01/2025,1229.07
13/01/2025,1235.65
10/1/2025,1230.48
9/1/2025,1245.77
8/1/2025,1251.02
7/1/2025,1246.95
6/1/2025,1246.35
3/1/2025,1254.59
2/1/2025,1269.71
31/12/2024,1266.78
30/12/2024,1272.02
27/12/2024,1275.14
26/12/2024,1272.87
25/12/2024,1274.04
24/12/2024,1260.36
23/12/2024,1262.76
20/12/2024,1257.50
19/12/2024,1254.67
18/12/2024,1266.00
17/12/2024,1261.72
16/12/2024,1263.79
13/12/2024,1262.57
12/12/2024,1267.35
11/12/2024,1268.86
10/12/2024,1272.07
9/12/2024,1273.84
6/12/2024,1270.14
5/12/2024,1267.53
4/12/2024,1240.41
3/12/2024,1249.83
2/12/2024,1251.21
29/11/2024,1250.46
28/11/2024,1242.11
27/11/2024,1241.97
26/11/2024,1242.13
25/11/2024,1234.70
22/11/2024,1228.10
21/11/2024,1228.33
20/11/2024,1216.54
19/11/2024,1205.15
18/11/2024,1217.12
15/11/2024,1218.57
14/11/2024,1231.89
13/11/2024,1246.04
12/11/2024,1244.82
11/11/2024,1250.32
8/11/2024,1252.56
7/11/2024,1259.75
6/11/2024,1261.28
5/11/2024,1245.76
4/11/2024,1244.71
1/11/2024,1254.89
31/10/2024,1264.48
30/10/2024,1258.63
29/10/2024,1261.78
28/10/2024,1254.77
25/10/2024,1252.72
24/10/2024,1257.41
23/10/2024,1270.90
22/10/2024,1269.89
21/10/2024,1279.77
18/10/2024,1285.46
17/10/2024,1286.52
16/10/2024,1279.48
15/10/2024,1281.08
14/10/2024,1286.34
11/10/2024,1288.39
10/10/2024,1286.36
9/10/2024,1281.85
8/10/2024,1271.98
7/10/2024,1269.93
4/10/2024,1270.60
3/10/2024,1278.10
2/10/2024,1287.84
1/10/2024,1292.20
30/09/2024,1287.94
27/09/2024,1290.92
26/09/2024,1291.49
25/09/2024,1287.48
24/09/2024,1276.99
23/09/2024,1268.48
20/09/2024,1272.04
19/09/2024,1271.27
18/09/2024,1264.90
17/09/2024,1258.95
16/09/2024,1239.26
13/09/2024,1251.71
12/9/2024,1256.35
11/9/2024,1253.27
10/9/2024,1255.23
9/9/2024,1267.73
6/9/2024,1273.96
5/9/2024,1268.21
4/9/2024,1275.80
30/08/2024,1283.87
29/08/2024,1281.47
28/08/2024,1281.44
27/08/2024,1280.56
26/08/2024,1280.02
23/08/2024,1285.32
22/08/2024,1282.78
21/08/2024,1284.05
20/08/2024,1272.55
19/08/2024,1261.62
16/08/2024,1252.23
15/08/2024,1223.56
14/08/2024,1230.36
13/08/2024,1230.42
12/8/2024,1230.28
9/8/2024,1223.64
8/8/2024,1208.32
7/8/2024,1215.88
6/8/2024,1210.28
5/8/2024,1188.07
2/8/2024,1236.60
1/8/2024,1226.96
31/07/2024,1251.51
30/07/2024,1245.06
29/07/2024,1246.60
26/07/2024,1242.11
25/07/2024,1233.19
24/07/2024,1238.47
23/07/2024,1231.81
22/07/2024,1254.64
19/07/2024,1264.78
18/07/2024,1274.44
17/07/2024,1268.66
16/07/2024,1281.18
15/07/2024,1279.82
12/7/2024,1280.75
11/7/2024,1283.80
10/7/2024,1285.94
9/7/2024,1293.71
8/7/2024,1283.56
5/7/2024,1283.04
4/7/2024,1279.89
3/7/2024,1276.85
2/7/2024,1269.79
1/7/2024,1254.56
28/06/2024,1245.32
27/06/2024,1259.09
26/06/2024,1261.24
25/06/2024,1256.56
24/06/2024,1254.12
21/06/2024,1282.02
20/06/2024,1282.30
19/06/2024,1279.79
18/06/2024,1279.50
17/06/2024,1274.77
14/06/2024,1279.91
13/06/2024,1301.51
12/6/2024,1300.19
11/6/2024,1284.41
10/6/2024,1290.67
7/6/2024,1287.58
6/6/2024,1283.56
5/6/2024,1284.35
4/6/2024,1283.52
3/6/2024,1280.00
31/05/2024,1261.72
30/05/2024,1266.32
29/05/2024,1272.64
28/05/2024,1281.73
27/05/2024,1267.68
24/05/2024,1261.93
23/05/2024,1281.03
22/05/2024,1266.91
21/05/2024,1277.14
20/05/2024,1277.58
17/05/2024,1273.11
16/05/2024,1268.78
15/05/2024,1254.39
14/05/2024,1243.28
13/05/2024,1240.18
10/5/2024,1244.70
9/5/2024,1248.64
8/5/2024,1250.46
7/5/2024,1248.63
6/5/2024,1241.58
3/5/2024,1221.03
2/5/2024,1216.36
26/04/2024,1209.52
25/04/2024,1204.97
24/04/2024,1205.61
23/04/2024,1177.40
22/04/2024,1190.22
19/04/2024,1174.85
17/04/2024,1193.01
16/04/2024,1215.68
15/04/2024,1216.61
12/4/2024,1276.60
11/4/2024,1258.20
10/4/2024,1258.56
9/4/2024,1262.82
8/4/2024,1250.35
5/4/2024,1255.11
4/4/2024,1268.25
3/4/2024,1271.47
2/4/2024,1287.04
1/4/2024,1281.52
29/03/2024,1284.09
28/03/2024,1290.18
27/03/2024,1283.09
26/03/2024,1282.21
25/03/2024,1267.86
22/03/2024,1281.80
21/03/2024,1276.42
20/03/2024,1260.08
19/03/2024,1242.46
18/03/2024,1243.56
15/03/2024,1263.78
14/03/2024,1264.26
13/03/2024,1270.51
12/3/2024,1245.00
11/3/2024,1235.49
8/3/2024,1247.35
7/3/2024,1268.46
6/3/2024,1262.73
5/3/2024,1269.98
4/3/2024,1261.41
1/3/2024,1258.28
29/02/2024,1252.73
28/02/2024,1254.55
27/02/2024,1237.46
26/02/2024,1224.17
23/02/2024,1212.00
22/02/2024,1227.31
21/02/2024,1230.04
20/02/2024,1230.06
19/02/2024,1224.97
16/02/2024,1209.70
15/02/2024,1202.50
7/2/2024,1198.53
6/2/2024,1188.48
5/2/2024,1186.06
2/2/2024,1172.55
1/2/2024,1173.02
31/01/2024,1164.31
30/01/2024,1179.65
29/01/2024,1175.69
26/01/2024,1175.67
25/01/2024,1170.37
24/01/2024,1172.97
23/01/2024,1177.50
22/01/2024,1182.86
19/01/2024,1181.50
18/01/2024,1169.06
17/01/2024,1162.53
16/01/2024,1163.12
15/01/2024,1154.12
12/1/2024,1154.70
11/1/2024,1162.22
10/1/2024,1161.54
9/1/2024,1158.59
8/1/2024,1160.19
5/1/2024,1154.68
4/1/2024,1150.72
3/1/2024,1144.17
2/1/2024,1131.72
29/12/2023,1129.93
28/12/2023,1128.93
27/12/2023,1121.99
26/12/2023,1122.25
25/12/2023,1117.66
22/12/2023,1103.06
21/12/2023,1102.43
20/12/2023,1100.76
19/12/2023,1096.30
18/12/2023,1091.88
15/12/2023,1102.30
14/12/2023,1110.13
13/12/2023,1114.20
12/12/2023,1127.63
11/12/2023,1125.50
8/12/2023,1124.44
7/12/2023,1121.49
6/12/2023,1126.43
5/12/2023,1115.97
4/12/2023,1120.49
1/12/2023,1102.16
30/11/2023,1094.13
29/11/2023,1102.80
28/11/2023,1095.43
27/11/2023,1088.06
24/11/2023,1095.61
23/11/2023,1088.49
22/11/2023,1113.82
21/11/2023,1110.46
20/11/2023,1103.66
17/11/2023,1101.19
16/11/2023,1125.53
15/11/2023,1122.50
14/11/2023,1109.73
13/11/2023,1100.07
10/11/2023,1101.68
9/11/2023,1113.89
8/11/2023,1113.43
7/11/2023,1080.29
6/11/2023,1089.66
3/11/2023,1076.78
2/11/2023,1075.47
1/11/2023,1039.66
31/10/2023,1028.19
30/10/2023,1042.40
27/10/2023,1060.62
26/10/2023,1055.45
25/10/2023,1101.66
24/10/2023,1105.90
23/10/2023,1093.53
20/10/2023,1108.03
19/10/2023,1087.85
18/10/2023,1103.40
17/10/2023,1121.65
16/10/2023,1141.42
13/10/2023,1154.73
12/10/2023,1151.61
11/10/2023,1150.81
10/10/2023,1143.69
9/10/2023,1137.36
6/10/2023,1128.54
5/10/2023,1113.89
4/10/2023,1128.67
3/10/2023,1118.10
2/10/2023,1155.25
29/09/2023,1154.15
28/09/2023,1152.43
27/09/2023,1153.85
26/09/2023,1137.96
25/09/2023,1153.20
22/09/2023,1193.05
21/09/2023,1212.74
20/09/2023,1226.11
19/09/2023,1211.50
18/09/2023,1211.81
15/09/2023,1227.36
14/09/2023,1223.81
13/09/2023,1238.39
12/9/2023,1245.44
11/9/2023,1223.63
8/9/2023,1241.48
7/9/2023,1243.14
6/9/2023,1245.50
5/9/2023,1234.98
31/08/2023,1224.05
30/08/2023,1213.16
29/08/2023,1204.43
28/08/2023,1201.72
25/08/2023,1183.37
24/08/2023,1189.39
23/08/2023,1172.56
22/08/2023,1180.49
21/08/2023,1179.76
18/08/2023,1177.99
17/08/2023,1233.48
16/08/2023,1243.26
15/08/2023,1234.05
14/08/2023,1236.84
11/8/2023,1232.21
10/8/2023,1220.61
9/8/2023,1233.99
8/8/2023,1242.23
7/8/2023,1241.42
4/8/2023,1225.98
3/8/2023,1210.95
2/8/2023,1220.43
1/8/2023,1217.56
31/07/2023,1222.90
28/07/2023,1207.67
27/07/2023,1197.33
26/07/2023,1200.84
25/07/2023,1195.90
24/07/2023,1190.72
21/07/2023,1185.90
20/07/2023,1172.81
19/07/2023,1172.98
18/07/2023,1174.09
17/07/2023,1173.13
14/07/2023,1168.40
13/07/2023,1165.42
12/7/2023,1154.20
11/7/2023,1151.77
10/7/2023,1149.02
7/7/2023,1138.07
6/7/2023,1126.22
5/7/2023,1134.62
4/7/2023,1132.00
3/7/2023,1125.50
30/06/2023,1120.18
29/06/2023,1125.39
28/06/2023,1138.35
27/06/2023,1134.33
26/06/2023,1132.03
23/06/2023,1129.38
22/06/2023,1125.30
21/06/2023,1118.46
20/06/2023,1111.72
19/06/2023,1105.40
16/06/2023,1115.22
